,Ticker,Entry Time,Entry Price,Exit Time,Exit Price
97,BANKNIFTY17SEP2022800PE,14-09-2020 09:29,326.1,14-09-2020 13:16,494.9
98,BANKNIFTY17SEP2022200CE,15-09-2020 09:29,298.6,15-09-2020 15:24,456.95
99,BANKNIFTY17SEP2022200PE,15-09-2020 09:29,316.85,15-09-2020 15:24,120.75
100,BANKNIFTY17SEP2022500CE,16-09-2020 09:29,196.15,16-09-2020 11:47,138
101,BANKNIFTY17SEP2022500PE,16-09-2020 09:29,233.5,16-09-2020 11:47,334.9
102,BANKNIFTY17SEP2022400CE,17-09-2020 09:29,87.15,17-09-2020 10:21,100
103,BANKNIFTY17SEP2022400PE,17-09-2020 09:29,138.15,17-09-2020 10:21,100.5
104,BANKNIFTY24SEP2022400CE,18-09-2020 09:29,373.9,18-09-2020 14:22,244.3
105,BANKNIFTY24SEP2022400PE,18-09-2020 09:29,343.85,18-09-2020 14:22,586
106,BANKNIFTY24SEP2022000CE,21-09-2020 09:29,310.95,21-09-2020 14:04,186.95
107,BANKNIFTY24SEP2022000PE,21-09-2020 09:29,325.95,21-09-2020 14:04,518.15
108,BANKNIFTY24SEP2021300CE,22-09-2020 09:29,299.4,22-09-2020 13:27,318
109,BANKNIFTY24SEP2021300PE,22-09-2020 09:29,334.5,22-09-2020 13:27,251.05
110,BANKNIFTY24SEP2021300CE,23-09-2020 09:29,183.9,23-09-2020 10:57,179.25
111,BANKNIFTY24SEP2021300PE,23-09-2020 09:29,235,23-09-2020 10:57,194.2
112,BANKNIFTY24SEP2020900CE,24-09-2020 09:29,99.3,24-09-2020 09:58,106.2
113,BANKNIFTY24SEP2020900PE,24-09-2020 09:29,142.8,24-09-2020 09:58,109.45
114,BANKNIFTY01OCT2020600CE,25-09-2020 09:29,380.5,25-09-2020 15:24,564
115,BANKNIFTY01OCT2020600PE,25-09-2020 09:29,444.3,25-09-2020 15:24,217.7
116,BANKNIFTY27AUG2023600CE,27-08-2020 09:29,117.3,27-08-2020 10:02,95.55
117,BANKNIFTY27AUG2023600PE,27-08-2020 09:29,88.85,27-08-2020 10:02,89.4
118,BANKNIFTY01OCT2021200CE,28-09-2020 09:29,312.85,28-09-2020 09:40,440.55
119,BANKNIFTY01OCT2021200PE,28-09-2020 09:29,328.7,28-09-2020 09:40,273.8
120,BANKNIFTY01OCT2021700CE,29-09-2020 09:29,267.8,29-09-2020 14:16,145
121,BANKNIFTY01OCT2021700PE,29-09-2020 09:29,272.35,29-09-2020 14:16,316.35
122,BANKNIFTY01OCT2021200CE,30-09-2020 09:29,183.1,30-09-2020 10:57,330.85
123,BANKNIFTY01OCT2021200PE,30-09-2020 09:29,193.8,30-09-2020 10:57,87.35
124,BANKNIFTY03SEP2024900CE,31-08-2020 09:29,421.55,31-08-2020 10:27,275.8
125,BANKNIFTY03SEP2024900PE,31-08-2020 09:29,458.2,31-08-2020 10:27,513.3
126,BANKNIFTY01OCT2021900CE,01-10-2020 09:29,114.55,01-10-2020 10:01,110.35
127,BANKNIFTY01OCT2021900PE,01-10-2020 09:29,118.65,01-10-2020 10:01,87.05
128,BANKNIFTY08OCT2022600CE,05-10-2020 09:29,373.1,05-10-2020 12:04,337.95
129,BANKNIFTY08OCT2022600PE,05-10-2020 09:29,363.9,05-10-2020 12:04,325.3
130,BANKNIFTY08OCT2022700CE,06-10-2020 09:29,250.85,06-10-2020 12:22,260.2
131,BANKNIFTY08OCT2022700PE,06-10-2020 09:29,312.9,06-10-2020 12:22,245
132,BANKNIFTY08OCT2022700CE,07-10-2020 09:29,187.1,07-10-2020 09:54,373.85
133,BANKNIFTY08OCT2022700PE,07-10-2020 09:29,237.9,07-10-2020 09:54,122.3
134,BANKNIFTY08OCT2023200CE,08-10-2020 09:29,119.6,08-10-2020 10:16,138.9
135,BANKNIFTY08OCT2023200PE,08-10-2020 09:29,136.4,08-10-2020 10:16,91.4
136,BANKNIFTY15OCT2023300CE,09-10-2020 09:29,413.65,09-10-2020 11:07,670.5
137,BANKNIFTY15OCT2023300PE,09-10-2020 09:29,411.35,09-10-2020 11:07,248.4
138,BANKNIFTY15OCT2024200CE,12-10-2020 09:29,366.7,12-10-2020 12:05,249.55
139,BANKNIFTY15OCT2024200PE,12-10-2020 09:29,424.9,12-10-2020 12:05,623.75
140,BANKNIFTY15OCT2023500CE,13-10-2020 09:29,352.4,13-10-2020 13:57,325
141,BANKNIFTY15OCT2023500PE,13-10-2020 09:29,326.7,13-10-2020 13:57,284.35
142,BANKNIFTY15OCT2023300CE,14-10-2020 09:29,264.35,14-10-2020 11:41,209.05
143,BANKNIFTY15OCT2023300PE,14-10-2020 09:29,270.05,14-10-2020 11:41,270.2
144,BANKNIFTY15OCT2023700CE,15-10-2020 09:29,117.8,15-10-2020 09:39,222.65
145,BANKNIFTY15OCT2023700PE,15-10-2020 09:29,138.95,15-10-2020 09:39,64.3
146,BANKNIFTY22OCT2023300CE,16-10-2020 09:29,421.6,16-10-2020 15:24,516.55
147,BANKNIFTY22OCT2023300PE,16-10-2020 09:29,447.05,16-10-2020 15:24,309.8
148,BANKNIFTY22OCT2023900CE,19-10-2020 09:29,343.45,19-10-2020 15:24,592.4
149,BANKNIFTY22OCT2023900PE,19-10-2020 09:29,387.4,19-10-2020 15:24,179.55
150,BANKNIFTY22OCT2024200CE,20-10-2020 09:29,331.5,20-10-2020 13:03,332.7
151,BANKNIFTY22OCT2024200PE,20-10-2020 09:29,354.35,20-10-2020 13:03,282.6
152,BANKNIFTY22OCT2024700CE,21-10-2020 09:29,268.25,21-10-2020 12:14,278.05
153,BANKNIFTY22OCT2024700PE,21-10-2020 09:29,244.75,21-10-2020 12:14,183.6
154,BANKNIFTY22OCT2024500CE,22-10-2020 09:29,199.6,22-10-2020 10:11,160.4
155,BANKNIFTY22OCT2024500PE,22-10-2020 09:29,185.9,22-10-2020 10:11,181.65
156,BANKNIFTY29OCT2024700CE,23-10-2020 09:29,455,23-10-2020 15:24,328.2
157,BANKNIFTY29OCT2024700PE,23-10-2020 09:29,447.05,23-10-2020 15:24,502.05
158,BANKNIFTY29OCT2024400CE,26-10-2020 09:29,394.55,26-10-2020 13:01,199.95
159,BANKNIFTY29OCT2024400PE,26-10-2020 09:29,401.9,26-10-2020 13:01,679.35
160,BANKNIFTY29OCT2023900CE,27-10-2020 09:29,368.3,27-10-2020 09:48,589.05
